Date,Open,High,Low,Close,Adj. Close,Change,Volume
2019-12-11,34.84300,34.99000,34.60000,34.63000,32.04500,-0.69%,1740162
2019-12-12,34.53300,34.82700,34.40300,34.71000,32.26400,0.23%,1253115
2019-12-13,34.61700,34.84700,34.49000,34.82700,32.37300,0.34%,1493826
2019-12-16,35.05700,35.57300,35.02300,35.06700,32.59600,0.69%,2221659
2019-12-17,35.18700,35.43000,34.96000,35.33300,32.84400,0.76%,2101551
2019-12-18,35.42300,35.54000,35.21700,35.30700,32.81900,-0.07%,1338261
2019-12-19,35.44700,35.78700,35.36700,35.67300,33.16000,1.04%,2531229
2019-12-20,35.91300,36.00000,35.59000,35.86700,33.33900,0.54%,2583450
2019-12-23,35.87700,35.96700,35.67700,35.72300,33.20600,-0.40%,1544481
2019-12-24,35.69300,35.80700,35.47300,35.56300,33.05700,-0.45%,917097
2019-12-26,35.59300,35.93300,35.59300,35.93000,33.39800,1.03%,723492
2019-12-27,35.97300,36.09300,35.84700,35.99700,33.46000,0.19%,1396404
2019-12-30,36.04000,36.04000,35.61000,35.67300,33.16000,-0.90%,1137939
2019-12-31,35.68000,35.85300,35.55300,35.70000,33.18400,0.08%,926316
2020-01-02,35.75300,35.98700,35.72300,35.94000,33.40700,0.67%,1717074
2020-01-03,35.66000,36.16000,35.58000,36.09300,33.55000,0.43%,2164671
2020-01-06,35.93000,36.08700,35.63000,36.07000,33.52800,-0.06%,2155332
2020-01-07,36.00000,36.08700,35.46300,35.47300,32.97400,-1.66%,1673310
2020-01-08,35.50300,35.65300,35.08000,35.27700,32.79100,-0.55%,3501042
2020-01-09,35.42300,35.96300,35.33000,35.78300,33.26200,1.43%,1589868
2020-01-10,35.91700,35.95000,35.59300,35.61300,33.10400,-0.48%,1281861
2020-01-13,35.66700,35.84300,35.61000,35.69700,33.18100,0.24%,1184346
2020-01-14,35.75300,35.75300,35.44300,35.51700,33.01400,-0.50%,2115450
2020-01-15,35.46700,36.07000,35.46700,35.95300,33.42000,1.23%,1869552
2020-01-16,36.18700,36.21300,35.92700,36.10300,33.55900,0.42%,3255909
2020-01-17,36.15300,36.45700,36.01000,36.43700,33.86900,0.93%,2372448
2020-01-21,36.37300,36.71700,36.32300,36.41700,33.85100,-0.05%,1781307
2020-01-22,36.46000,36.48300,36.07300,36.38000,33.81600,-0.10%,1757739
2020-01-23,36.35000,36.56000,36.16000,36.54300,33.96800,0.45%,1449660
2020-01-24,36.55300,36.76300,36.41300,36.73700,34.14800,0.53%,2087808
2020-01-27,36.37700,36.76000,36.33300,36.59300,34.01500,-0.39%,2938740
2020-01-28,36.61000,37.19700,36.60000,37.04700,34.43600,1.24%,3175689
2020-01-29,37.38300,38.59000,36.58700,38.44700,35.73800,3.78%,3825471
2020-01-30,38.41700,38.70700,37.80000,38.65300,35.93000,0.54%,2971056
2020-01-31,38.61700,38.93300,38.51700,38.82000,36.08500,0.43%,2736873
2020-02-03,39.09300,39.63000,39.01000,39.26300,36.49700,1.14%,2157585
2020-02-04,39.64700,40.07700,39.48700,39.55700,36.76900,0.75%,2601015
2020-02-05,39.74700,39.75000,38.63300,38.82300,36.08800,-1.86%,3060546
2020-02-06,39.07000,39.07700,38.51000,38.61700,35.89600,-0.53%,2731767
2020-02-07,38.65700,38.76700,38.08000,38.11000,35.42500,-1.31%,2878353
2020-02-10,38.04000,38.61700,38.00300,38.57700,35.85800,1.23%,2823783
2020-02-11,38.57300,38.89300,38.22700,38.26700,35.57000,-0.80%,1388883
2020-02-12,38.30000,38.35300,37.64700,38.02000,35.34100,-0.65%,1747827
2020-02-13,38.05700,38.30000,37.98300,38.13300,35.44600,0.30%,1229544
2020-02-14,38.21300,38.75000,38.21300,38.73300,36.00400,1.57%,1591134
2020-02-18,37.83300,38.72000,37.71000,38.55700,35.84000,-0.45%,3255309
2020-02-19,38.65700,39.11000,38.40000,38.42300,35.71600,-0.35%,2179227
2020-02-20,38.51700,38.60000,37.77300,38.16300,35.47400,-0.68%,2076834
2020-02-21,38.08000,38.48300,37.99700,38.39300,35.68800,0.60%,7581696
2020-02-24,37.61300,38.47300,37.46300,38.24700,35.55200,-0.38%,3653283
2020-02-25,38.30300,38.44000,37.28300,37.47000,34.83000,-2.03%,2890734
2020-02-26,37.49000,38.22000,37.49000,37.67300,35.01900,0.54%,2844417
2020-02-27,37.33300,37.50300,35.77300,35.81700,33.29300,-4.93%,4027599
2020-02-28,35.07700,35.15000,33.49000,34.18300,31.77500,-4.56%,6843117
2020-03-02,34.33300,36.78300,34.33300,36.70700,34.12000,7.38%,3792153
2020-03-03,36.91300,38.02300,36.37700,36.69000,34.10500,-0.05%,3951660
2020-03-04,37.39000,38.85000,36.83300,38.79000,36.05700,5.72%,3619527
2020-03-05,37.52300,38.19700,37.19700,38.03300,35.35300,-1.95%,4935261
2020-03-06,36.95700,37.43000,35.89000,36.83300,34.23800,-3.16%,3780003
2020-03-09,34.24000,36.14000,34.15300,35.24000,32.75700,-4.32%,4302486
2020-03-10,36.10700,36.26300,34.06700,34.90000,32.44100,-0.96%,5967174
2020-03-11,33.95300,33.98700,32.59700,33.10700,30.77400,-5.14%,5488185
2020-03-12,30.47700,31.10700,29.43300,29.54300,27.60700,-10.77%,5299662
2020-03-13,31.05000,32.12300,28.57300,32.01700,29.91800,8.37%,5042832
2020-03-16,29.00000,30.92700,27.78300,28.43700,26.57300,-11.18%,4251513
2020-03-17,29.15700,31.96000,29.00000,31.67700,29.60100,11.39%,6676080
2020-03-18,30.14700,31.83000,29.71700,30.52300,28.52300,-3.64%,6797541
2020-03-19,30.59000,30.86700,28.50700,29.33300,27.41100,-3.90%,5260365
2020-03-20,29.94000,29.94000,26.55700,26.83300,25.07500,-8.52%,6484494
2020-03-23,26.85700,26.85700,23.88700,24.28700,22.69500,-9.49%,5382030
2020-03-24,25.63700,27.73000,25.46300,27.66300,25.85000,13.90%,5926293
2020-03-25,27.66300,30.34000,27.42700,28.98700,27.08700,4.79%,5907366
2020-03-26,29.35000,32.03000,29.35000,31.27300,29.22400,7.89%,5097825
2020-03-27,30.01300,31.81300,29.76000,30.92700,28.90000,-1.11%,3381783
2020-03-30,31.34300,33.27700,30.93700,33.14700,30.97400,7.18%,4312098
2020-03-31,33.17300,33.46700,31.52700,31.65000,29.57600,-4.52%,4547262
2020-04-01,30.04000,31.09700,30.00000,30.75700,28.74100,-2.82%,3176325
2020-04-02,30.68300,31.48300,30.11000,31.32000,29.26700,1.83%,3711159
2020-04-03,31.51000,31.97300,31.19000,31.74000,29.66000,1.34%,2555850
2020-04-06,33.29700,34.09000,32.69000,33.86300,31.64400,6.69%,2750382
2020-04-07,34.90700,35.70300,33.40700,33.64700,31.44200,-0.64%,3376539
2020-04-08,33.84300,34.93700,33.74300,34.71000,32.43500,3.16%,2234619
2020-04-09,34.92700,36.19700,34.92700,35.97300,33.61600,3.64%,2221785
2020-04-13,35.09700,35.66300,34.22300,34.43000,32.17400,-4.29%,2417112
2020-04-14,35.21700,35.96000,34.75700,35.85300,33.50400,4.13%,4153818
2020-04-15,35.37000,36.03700,34.87000,35.33300,33.01800,-1.45%,2489736
2020-04-16,35.63000,36.31000,35.50000,36.10300,33.73700,2.18%,2168397
2020-04-17,37.03300,37.30300,36.46000,37.08000,34.65000,2.71%,2321424
2020-04-20,36.59000,36.96000,36.25300,36.59300,34.19500,-1.31%,2768424
2020-04-21,35.90700,36.28700,34.92000,35.09000,32.79000,-4.11%,2905146
2020-04-22,36.16700,36.16700,34.26700,34.87700,32.59100,-0.61%,4088025
2020-04-23,35.65700,35.65700,34.27300,34.61700,32.34800,-0.75%,2715204
2020-04-24,34.92300,35.25000,34.32300,35.21000,32.90200,1.71%,2530923
2020-04-27,35.70300,37.29700,35.66700,37.21000,34.77100,5.68%,2767866
2020-04-28,37.84300,38.14000,36.88300,37.07000,34.64100,-0.38%,3018738
2020-04-29,37.58300,37.74300,37.07300,37.20000,34.76200,0.35%,2480952
2020-04-30,36.25000,37.04700,36.10700,36.55700,34.16100,-1.73%,2083305
2020-05-01,35.66700,35.84700,35.27700,35.54000,33.21100,-2.78%,2192205
2020-05-04,35.27000,35.54300,34.79300,35.37700,33.05800,-0.46%,2168154
2020-05-05,35.84700,36.49300,35.31300,36.27700,33.89900,2.54%,2899407
2020-05-06,36.59000,36.59000,35.20000,35.21000,32.90200,-2.94%,2130540
2020-05-07,35.58300,36.40700,35.48300,35.77700,33.43200,1.61%,1900938
2020-05-08,36.40300,36.43000,35.69300,35.86300,33.51300,0.24%,2685306
2020-05-11,35.32700,36.65000,35.28300,36.41300,34.02700,1.53%,2049768
2020-05-12,36.66700,36.83000,36.06700,36.16700,33.79600,-0.68%,3211326
2020-05-13,36.17300,36.76700,35.81700,36.29700,33.91800,0.36%,2783247
2020-05-14,35.78300,36.55700,35.75000,36.49300,34.10200,0.54%,2379564
2020-05-15,36.59700,37.41700,36.22300,37.36000,34.91200,2.38%,6235539
2020-05-18,38.30700,38.63700,37.95300,38.31300,35.80200,2.55%,2596338
2020-05-19,38.06700,38.66300,37.47300,37.54300,35.08300,-2.01%,1909419
2020-05-20,37.66300,38.53700,37.66300,38.23700,35.73100,1.85%,1594941
2020-05-21,37.95300,38.23300,37.67000,37.99700,35.50700,-0.63%,2165967
2020-05-22,38.02700,38.59700,37.94300,38.44700,35.92700,1.18%,1322016
2020-05-26,39.47300,39.75700,38.67700,38.76000,36.22000,0.81%,1835718
2020-05-27,39.26000,39.33000,38.07300,38.39700,35.88000,-0.94%,2537733
2020-05-28,38.77700,39.21700,38.52300,38.79000,36.24800,1.02%,2142786
2020-05-29,38.77300,39.61000,38.56700,39.48700,36.89900,1.80%,2495007
2020-06-01,39.76700,39.95700,39.08300,39.62700,37.03000,0.35%,2788764
2020-06-02,39.75000,39.93300,39.42700,39.74700,37.14200,0.30%,1557558
2020-06-03,39.99000,40.24300,39.44700,39.78000,37.17300,0.08%,2108277
2020-06-04,39.70000,39.79000,38.81300,39.31000,36.73400,-1.18%,1803489
2020-06-05,39.84700,40.08300,38.44300,39.96700,37.34700,1.67%,3228177
2020-06-08,39.79000,40.53700,39.75700,40.43300,37.78300,1.17%,2877594
2020-06-09,40.12000,40.38700,39.71700,40.03000,37.40700,-1.00%,2477688
2020-06-10,39.85700,40.28000,39.79300,40.00300,37.38200,-0.07%,1539156
2020-06-11,39.49700,39.62300,37.57300,37.75000,35.42900,-5.63%,2599017
2020-06-12,38.48700,38.63000,37.71000,38.38300,36.02300,1.68%,2116386
2020-06-15,37.51300,39.45300,37.41000,39.12300,36.71800,1.93%,2343489
2020-06-16,39.56300,40.00000,38.69700,39.51000,37.08000,0.99%,2267658
2020-06-17,39.69000,39.89000,39.30300,39.37700,36.95500,-0.34%,1779522
2020-06-18,39.24700,39.79700,38.90300,39.76300,37.31800,0.98%,2304966
2020-06-19,40.09300,40.71700,39.47000,39.61000,37.17400,-0.38%,2951469
2020-06-22,39.70700,40.15000,39.37700,39.90300,37.45000,0.74%,1519296
2020-06-23,40.07300,40.29300,39.43000,39.53300,37.10200,-0.93%,2118141
2020-06-24,39.41000,39.44000,38.35700,38.42700,36.06400,-2.80%,1880490
2020-06-25,38.33300,39.66300,38.22000,39.56300,37.13000,2.96%,1664772
2020-06-26,39.37300,39.44700,38.47000,38.60700,36.23300,-2.42%,3161178
2020-06-29,39.13300,39.22700,38.72700,39.18300,36.77400,1.49%,2247372
2020-06-30,38.94300,39.99300,38.81700,39.82300,37.37400,1.63%,1887786
2020-07-01,39.86700,40.53700,39.61300,40.25300,37.77800,1.08%,1808931
2020-07-02,40.86000,41.04000,40.00000,40.02000,37.55900,-0.58%,2270052
2020-07-06,40.49700,40.83300,40.18000,40.36000,37.87800,0.85%,1436376
2020-07-07,40.08700,40.59700,39.92000,40.15700,37.68700,-0.50%,1391502
2020-07-08,40.31700,40.76000,40.15300,40.56700,38.07200,1.02%,2049135
2020-07-09,40.75700,40.83300,39.73700,40.26700,37.79100,-0.74%,1691790
2020-07-10,40.43300,41.00000,40.05700,40.96000,38.44100,1.72%,1406508
2020-07-13,41.34000,42.07300,40.98000,41.00000,38.47900,0.10%,1859493
2020-07-14,40.99700,41.60000,40.98700,41.60000,39.04200,1.46%,1300758
2020-07-15,42.00000,42.45300,41.69300,42.28000,39.68000,1.63%,1603185
2020-07-16,42.18000,42.42300,42.00300,42.34300,39.74000,0.15%,924342
2020-07-17,42.56700,43.05000,42.40700,42.81300,40.18100,1.11%,2246022
2020-07-20,42.77700,43.89000,42.77300,43.76700,41.07500,2.23%,2368116
2020-07-21,43.56300,43.95000,43.16300,43.67000,40.98500,-0.22%,2732256
2020-07-22,44.33700,45.10500,43.84900,44.70000,41.95100,2.36%,3694869
2020-07-23,44.73300,45.17200,43.66700,43.80300,41.11000,-2.01%,2814573
2020-07-24,43.76300,43.79500,43.01700,43.52000,40.84400,-0.65%,2696232
2020-07-27,43.56300,43.73300,43.37300,43.51000,40.83400,-0.02%,2857761
2020-07-28,43.18700,43.32000,42.46700,42.71700,40.09000,-1.82%,2113704
2020-07-29,42.92300,43.84700,42.84000,43.67000,40.98500,2.23%,2375832
2020-07-30,43.20300,43.45800,42.89000,43.30000,40.63700,-0.85%,1657137
2020-07-31,43.56700,43.78300,43.00300,43.77000,41.07800,1.09%,1835577
2020-08-03,43.94700,44.13100,43.31700,43.45000,40.77800,-0.73%,1526766
2020-08-04,43.51000,43.59000,42.93200,43.23300,40.57500,-0.50%,1402977
2020-08-05,43.43300,43.49000,43.01300,43.45300,40.78100,0.51%,1741818
2020-08-06,43.26000,43.75300,43.16700,43.56700,40.88800,0.26%,1766577
2020-08-07,43.28000,44.29300,43.20300,44.29000,41.56600,1.66%,2182767
2020-08-10,44.50300,44.50300,43.52300,43.84300,41.14700,-1.01%,2223066
2020-08-11,44.00000,44.09700,43.37300,43.49000,40.81600,-0.81%,1763184
2020-08-12,43.71700,44.35000,43.41300,43.47300,40.80000,-0.04%,3167847
2020-08-13,43.33700,43.59000,43.01700,43.42700,40.75600,-0.11%,2781123
2020-08-14,43.35700,43.54300,42.90300,43.08000,40.43100,-0.80%,2035128
2020-08-17,43.12700,43.60000,43.00000,43.43700,40.76600,0.83%,2517174
2020-08-18,43.43000,43.60300,43.11000,43.35000,40.68400,-0.20%,1734600
2020-08-19,43.60700,43.67300,43.10300,43.29000,40.62800,-0.14%,1757274
2020-08-20,43.15300,43.82300,43.15300,43.48700,40.81300,0.46%,1553829
2020-08-21,43.46000,43.55300,43.08000,43.30700,40.64400,-0.41%,1439658
2020-08-24,43.43000,43.89700,43.23000,43.86000,41.16300,1.28%,2077170
2020-08-25,43.88200,44.01300,43.25000,43.36700,40.70000,-1.12%,1490271
2020-08-26,43.47000,44.52700,43.40300,44.18000,41.46300,1.87%,1937520
2020-08-27,44.34700,44.42700,43.94000,43.95000,41.24700,-0.52%,1525695
2020-08-28,44.20700,44.20700,43.81000,43.94700,41.24400,-0.01%,1284942
2020-08-31,44.17700,45.03700,44.04400,44.80700,42.05100,1.96%,4145982
2020-09-01,44.88000,44.94700,44.43000,44.94000,42.17700,0.30%,1526040
2020-09-02,45.10700,45.98000,45.00000,45.76000,42.94600,1.82%,2283207
2020-09-03,45.93700,45.93700,43.96300,44.42000,41.68800,-2.93%,2527194
2020-09-04,44.70000,44.71300,42.86700,43.43000,40.75900,-2.23%,2228319
2020-09-08,42.93700,43.16000,42.06000,42.14700,39.55500,-2.95%,2942037
2020-09-09,42.73700,43.30700,42.33700,43.06300,40.41500,2.17%,1964361
2020-09-10,43.02000,43.02000,41.57300,41.63700,39.23000,-3.31%,2424897
2020-09-11,42.02700,42.26700,41.58000,41.90000,39.47800,0.63%,1655703
2020-09-14,42.07700,42.71700,42.07700,42.33000,39.88300,1.03%,2388120
2020-09-15,42.67000,42.96300,42.43000,42.72000,40.25000,0.92%,1122366
2020-09-16,42.70000,43.28700,42.38000,42.43300,39.98000,-0.67%,1626063
2020-09-17,41.81300,41.81300,41.19700,41.48000,39.08200,-2.25%,2608788
2020-09-18,41.66700,41.83000,40.59700,40.81700,38.45700,-1.60%,3721437
2020-09-21,40.10300,40.94300,39.89700,40.68300,38.33100,-0.33%,2729775
2020-09-22,40.70300,41.11700,40.08700,41.10700,38.73000,1.04%,2466663
2020-09-23,41.24000,41.24000,39.86700,39.91000,37.60300,-2.91%,1798173
2020-09-24,39.85700,40.75700,39.75000,40.43300,38.09600,1.31%,1758264
2020-09-25,40.38300,41.37000,40.23000,41.34300,38.95300,2.25%,1575306
2020-09-28,41.95300,42.11300,41.32700,41.79000,39.37400,1.08%,2515464
2020-09-29,41.77300,42.12000,39.33700,40.46000,38.12100,-3.18%,7978659
2020-09-30,40.69300,41.47300,40.43300,40.90300,38.53900,1.09%,5928669
2020-10-01,41.31300,41.52300,40.95700,41.30700,38.91900,0.99%,3351891
2020-10-02,40.88700,41.55700,40.75300,41.18000,38.79900,-0.31%,2144064
2020-10-05,41.39700,41.66300,40.90000,41.62300,39.21700,1.08%,1952124
2020-10-06,41.66300,41.93000,41.03000,41.19000,38.80900,-1.04%,2298474
2020-10-07,41.12700,41.60000,40.72700,40.99300,38.62300,-0.48%,2611053
2020-10-08,41.24500,41.63000,41.10700,41.53300,39.13200,1.32%,1889997
2020-10-09,42.00700,42.11700,41.57300,41.68700,39.27700,0.37%,1227795
2020-10-12,41.93700,42.44000,41.75000,42.12700,39.69100,1.06%,1269633
2020-10-13,42.29000,42.31300,41.78000,42.12700,39.69100,,1880292
2020-10-14,42.43300,42.76000,42.33700,42.55000,40.09000,1.00%,1686261
2020-10-15,42.16700,42.81300,42.05000,42.80300,40.32900,0.59%,1230168
2020-10-16,42.88600,43.30000,42.62700,42.95700,40.47300,0.36%,2182530
2020-10-19,43.23700,43.36700,42.46300,42.49300,40.03700,-1.08%,2660517
2020-10-20,42.50300,43.69300,42.50300,42.99700,40.51100,1.19%,2654526
2020-10-21,43.49000,44.68000,42.66700,44.12300,41.57200,2.62%,3317739
2020-10-22,44.39000,44.39000,43.32700,43.36300,40.85600,-1.72%,1806840
2020-10-23,43.52000,43.52000,42.47700,43.04000,40.55200,-0.74%,1736175
2020-10-26,42.58700,42.79000,42.19000,42.46000,40.00500,-1.35%,1881444
2020-10-27,42.58000,42.76700,41.69000,41.70000,39.28900,-1.79%,1598580
2020-10-28,41.25000,41.45800,40.34000,40.57700,38.23100,-2.69%,1816104
2020-10-29,40.57700,41.23000,40.25000,40.67000,38.31900,0.23%,1812381
2020-10-30,40.35300,40.99300,39.92000,40.33000,37.99800,-0.84%,2461299
2020-11-02,40.81700,41.63000,40.75300,41.06000,38.68600,1.81%,1591164
2020-11-03,41.69300,42.32300,41.39000,41.63700,39.23000,1.41%,1292091
2020-11-04,42.01300,43.84300,42.01000,43.10000,40.60800,3.51%,2060271
2020-11-05,43.18700,44.61700,43.18700,44.40300,41.83600,3.02%,2536701
2020-11-06,44.40700,44.65700,43.93700,44.40000,41.83300,-0.01%,1799424
2020-11-09,46.50000,46.50000,43.08300,43.22700,40.72800,-2.64%,3042333
2020-11-10,43.09000,43.32700,42.01700,42.37700,39.92700,-1.97%,3720021
2020-11-11,42.53000,43.77300,42.51000,43.26300,40.76200,2.09%,1977003
2020-11-12,43.42300,43.42500,42.15200,42.28300,39.83900,-2.27%,1894482
2020-11-13,42.48300,42.73700,41.77000,41.94000,39.51500,-0.81%,2319891
2020-11-16,42.18700,42.18700,41.37700,41.84300,39.42400,-0.23%,3278829
2020-11-17,41.96300,42.01700,41.21800,41.44300,39.04700,-0.96%,2975481
2020-11-18,41.34300,41.38700,40.74300,40.91000,38.54500,-1.29%,3004062
2020-11-19,41.36700,42.23300,40.95300,41.58700,39.18200,1.65%,3334932
2020-11-20,41.73000,42.45700,41.55300,42.11000,39.67600,1.26%,2837562
2020-11-23,42.26700,42.49000,41.61300,42.00300,39.57500,-0.25%,2125491
2020-11-24,42.04300,42.57300,42.01700,42.42300,39.97100,1.00%,2728545
2020-11-25,42.39700,42.73500,42.34500,42.44300,39.99000,0.05%,2235924
2020-11-27,42.32300,42.50300,42.09300,42.37300,39.92400,-0.16%,1552938
2020-11-30,42.34000,42.76000,42.14300,42.66300,40.19700,0.68%,3112797
2020-12-01,42.44300,43.46500,42.44300,43.30300,40.80000,1.50%,2190522
2020-12-02,43.23700,43.33300,42.75000,43.12000,40.62700,-0.42%,1707966
2020-12-03,42.29000,42.34700,41.09000,41.63300,39.38000,-3.45%,5596983
2020-12-04,41.62000,42.33300,41.56000,41.76700,39.50600,0.32%,2550444
2020-12-07,41.82000,42.98700,41.81700,42.85300,40.53400,2.60%,5088153
2020-12-08,42.83300,43.06700,42.43300,42.88300,40.56300,0.07%,1864113
2020-12-09,42.96300,43.22000,41.36000,42.03300,39.75900,-1.98%,2914443
2020-12-10,41.91700,42.12000,41.54300,41.66300,39.40900,-0.88%,2107305
2020-12-11,41.52000,41.99000,41.33700,41.89000,39.62300,0.54%,1651716
2020-12-14,42.24000,42.70000,41.30000,41.34700,39.10900,-1.30%,1921797
2020-12-15,41.59700,42.79000,41.54800,42.43000,40.13400,2.62%,2555589
2020-12-16,42.63300,42.77000,42.23500,42.36700,40.07400,-0.15%,3331185
2020-12-17,42.61300,43.15700,42.43300,42.83300,40.51500,1.10%,3154239
2020-12-18,42.73000,43.21300,42.65000,42.86700,40.54700,0.08%,5128356
2020-12-21,42.60700,42.85500,41.42500,42.68300,40.37400,-0.43%,3337200
2020-12-22,42.34300,43.46000,42.24700,43.30000,40.95700,1.45%,3123543
2020-12-23,43.49700,43.58000,42.64700,42.65000,40.34200,-1.50%,1479507
2020-12-24,42.66000,42.91300,42.53000,42.87300,40.55300,0.52%,575487
2020-12-28,43.02700,43.07300,42.64000,42.95000,40.62600,0.18%,1373952
2020-12-29,43.21700,43.29000,42.96700,43.04700,40.71700,0.23%,910797
2020-12-30,43.26000,43.51000,43.15300,43.38000,41.03200,0.77%,1199061
2020-12-31,43.33300,44.29000,43.16000,44.24700,41.85200,2.00%,1534131
2021-01-04,44.57700,44.64300,43.56700,44.00300,41.62200,-0.55%,4331457
2021-01-05,44.09700,44.34700,43.84700,43.99000,41.60900,-0.03%,3305445
2021-01-06,44.11700,45.49700,43.97300,45.13300,42.69100,2.60%,3068307
2021-01-07,44.98000,45.62700,44.89000,45.60000,43.13200,1.03%,2645232
2021-01-08,45.14300,46.38000,45.14300,46.27000,43.76600,1.47%,2361216
2021-01-11,46.07000,47.29000,46.00000,46.96700,44.42500,1.51%,3387540
2021-01-12,46.99700,47.56000,46.95300,47.30700,44.74700,0.72%,2827761
2021-01-13,47.35700,47.83300,47.33300,47.49700,44.92600,0.40%,4243440
2021-01-14,47.74000,47.75700,46.93000,47.37700,44.81300,-0.25%,2877261
2021-01-15,47.14700,47.50700,46.46000,46.68000,44.15400,-1.47%,8262501
2021-01-19,47.40300,47.66700,46.74700,47.42000,44.85400,1.59%,2688879
2021-01-20,47.79300,48.10000,47.16700,47.89000,45.29800,0.99%,3800934
2021-01-21,48.03000,48.13300,46.81700,47.13300,44.58300,-1.58%,2078061
2021-01-22,47.09700,47.17500,46.40700,46.80700,44.27400,-0.69%,3380955
2021-01-25,46.84700,47.60700,46.57300,47.43300,44.86600,1.34%,2508399
2021-01-26,47.57700,47.77000,46.82800,47.04300,44.49800,-0.82%,2914596
2021-01-27,46.83000,47.88300,45.85000,47.06700,44.52000,0.05%,4776417
2021-01-28,47.12300,47.79000,46.32000,46.34300,43.83500,-1.54%,2939247
2021-01-29,46.03300,46.03300,44.73700,45.09000,42.65000,-2.70%,3366921
2021-02-01,45.51000,46.35700,45.16700,46.20300,43.70300,2.47%,2620071
2021-02-02,46.37700,47.70300,46.20300,47.53700,44.96400,2.89%,2701707
2021-02-03,47.42700,47.70000,47.00700,47.38700,44.82200,-0.32%,2638197
2021-02-04,47.55300,48.46700,47.43200,47.85700,45.26700,0.99%,2472438
2021-02-05,47.94000,48.17300,47.31700,47.53000,44.95800,-0.68%,2040381
2021-02-08,47.70000,47.94700,47.30700,47.48300,44.91400,-0.10%,1480161
2021-02-09,47.54700,47.99000,47.33800,47.71000,45.12800,0.48%,1261794
2021-02-10,48.00000,48.13000,47.04700,47.49000,44.92000,-0.46%,1529151
2021-02-11,47.68000,47.74700,47.20000,47.45700,44.88900,-0.07%,1398300
2021-02-12,47.50300,47.84500,47.27700,47.33000,44.76900,-0.27%,1454766
2021-02-16,47.68300,48.06300,47.13000,47.99700,45.39900,1.41%,2549694
2021-02-17,47.74000,48.37000,47.66700,48.23000,45.62000,0.49%,2334957
2021-02-18,48.09300,48.49000,47.87700,48.29300,45.68000,0.13%,2128941
2021-02-19,48.39700,48.61000,48.10000,48.14300,45.53800,-0.31%,2007453
2021-02-22,47.81300,47.81300,46.67000,47.20700,44.65200,-1.94%,2727399
2021-02-23,47.03700,47.12800,46.28700,46.78000,44.24800,-0.90%,2970300
2021-02-24,46.60300,47.40700,46.14000,47.33000,44.76900,1.18%,1826748
2021-02-25,47.36000,47.85000,46.72700,46.77300,44.24200,-1.18%,1936659
2021-02-26,46.81700,46.99300,45.93300,46.09700,43.60200,-1.45%,2813964
2021-03-01,46.56000,47.61700,46.46700,47.29000,44.73100,2.59%,2086602
2021-03-02,47.19300,47.40300,46.38000,46.88000,44.34300,-0.87%,1857981
2021-03-03,46.70000,46.98300,45.51700,45.57000,43.10400,-2.79%,1862619
2021-03-04,45.87500,46.71700,45.19000,46.00000,43.51100,0.94%,3552414
2021-03-05,46.35000,48.37000,46.16700,48.23300,45.62300,4.85%,3595821
2021-03-08,48.29700,49.17300,47.95300,48.33000,45.71500,0.20%,5225073
2021-03-09,48.28700,49.84700,48.28700,48.88300,46.23800,1.14%,3341625
2021-03-10,49.02700,49.10300,48.14500,48.18300,45.57600,-1.43%,2215725
